Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Population, total",SP.POP.TOTL,Chad,TCD,10096630,10457122,10818031,11183589,11560142,11952134,12360986,12784748,13220433,13663562,14110971,14561658,15016761,15477727,15946882,16425859
"Population, total",SP.POP.TOTL,Niger,NER,13624474,14143969,14685404,15250913,15843131,16464025,17114770,17795209,18504287,19240182,20001663,20788789,21602388,22442831,23310719,24206636
"Population, total",SP.POP.TOTL,Bolivia,BOL,9232301,9395449,9558438,9721457,9884790,10048597,10212951,10377677,10542375,10706517,10869732,11031822,11192853,11353140,11513102,11673029
"Population, total",SP.POP.TOTL,Indonesia,IDN,226289468,229318262,232374239,235469755,238620554,241834226,245115988,248451714,251805314,255128076,258383257,261556386,264650969,267670549,270625567,273523621
"Population, total",SP.POP.TOTL,Philippines,PHL,86326251,87888675,89405482,90901967,92414161,93966784,95570049,97212639,98871558,100513137,102113206,103663812,105172921,106651394,108116622,109581085
"Population, total",SP.POP.TOTL,Mexico,MEX,106005199,107560155,109170503,110815272,112463886,114092961,115695468,117274156,118827158,120355137,121858251,123333379,124777326,126190782,127575529,128932753
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Canada,CAN,7.1,7,7.1,7.2,7.1,7,7.1,7.1,7.2,7.3,7.4,7.4,7.5,7.7,7.6,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,United States,USA,8.3,8.1,8,8.1,7.9,7.995,8.073,8.102,8.215,8.237,8.44,8.493,8.638,8.678,8.7,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Burundi,BDI,12.239,11.791,11.36,10.936,10.519,10.113,9.728,9.373,9.052,8.767,8.517,8.3,8.106,7.929,7.766,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Chad,TCD,16.636,16.295,15.909,15.489,15.047,14.598,14.161,13.752,13.38,13.053,12.77,12.527,12.309,12.104,11.907,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Niger,NER,14.296,13.683,13.073,12.477,11.901,11.353,10.838,10.359,9.916,9.511,9.145,8.82,8.529,8.268,8.033,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Bolivia,BOL,8.306,8.12,7.941,7.769,7.604,7.448,7.304,7.175,7.062,6.966,6.89,6.834,6.795,6.772,6.762,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Indonesia,IDN,7.203,7.087,6.965,6.849,6.744,6.653,6.579,6.518,6.471,6.437,6.419,6.418,6.433,6.465,6.51,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Philippines,PHL,5.469,5.478,5.497,5.529,5.572,5.623,5.674,5.719,5.754,5.78,5.798,5.815,5.839,5.873,5.92,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Mexico,MEX,4.792,4.869,4.961,5.06,5.163,5.266,5.369,5.471,5.572,5.67,5.763,5.851,5.933,6.01,6.082,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Canada,CAN,34810,38510,43090,45650,43230,44490,47190,51080,52800,52200,47590,43890,42900,45080,46550,43580
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,United States,USA,46180,47850,48520,49090,47830,49140,50630,52780,53980,55800,56640,57130,59240,63490,65970,64530
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Burundi,BDI,140,150,170,190,200,220,230,250,260,260,260,260,260,250,240,230
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Chad,TCD,470,530,630,700,830,910,890,960,970,980,880,730,640,680,700,630
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Niger,NER,330,360,380,440,480,520,520,550,570,590,560,530,520,570,590,550
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bolivia,BOL,1020,1110,1220,1480,1620,1780,2000,2250,2590,2830,2960,3040,3090,3370,3520,3180
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Indonesia,IDN,1220,1380,1600,1940,2150,2530,3010,3580,3730,3620,3430,3400,3530,3840,4050,3870
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Philippines,PHL,1380,1490,1720,2010,2170,2370,2520,2860,3160,3330,3380,3450,3530,3710,3850,3430
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Mexico,MEX,8050,8690,9250,9780,8820,9040,9310,10050,10270,10500,10160,9390,8920,9180,9470,8480
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Canada,CAN,46.63737609,46.8751721,47.0367127,46.97475419,47.20037683,47.31051354,47.26751603,47.39299543,47.46647388,47.32607559,47.17306195,47.30072881,47.40507966,47.50117139,47.38180361,47.09236951
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,United States,USA,45.88541943,45.86670406,45.90911393,46.05633577,46.27445911,46.27768454,46.26629636,46.1698979,46.08764735,46.14571941,46.05790055,46.04152378,46.17612365,46.19075536,46.29959035,46.29551159
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Burundi,BDI,51.93673772,51.89216761,51.84928405,51.80978675,51.77533385,51.7486529,51.7475804,51.75149668,51.75706009,51.76139565,51.72802017,51.69815523,51.67517542,51.66120937,51.65892761,51.63141352
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Chad,TCD,43.20706277,43.01747077,42.82803236,42.63879303,42.44591585,42.2490351,42.06398991,41.87319747,41.67968644,41.48478833,41.29012735,41.10371836,40.91599613,40.72631217,40.8457224,40.40445253
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Niger,NER,44.67979883,44.55911937,44.44279632,44.33202099,44.23056834,44.13856037,44.03186588,43.63686082,43.26396174,42.92280718,42.87075072,42.81577325,42.77562483,42.74806515,42.729915,42.68269718
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Bolivia,BOL,43.4042291,43.65503181,42.84694004,43.24394793,43.47132303,43.26411226,43.06167296,42.10476062,42.51628696,42.97142539,40.83018101,42.41115795,43.23818397,44.44759866,43.14018531,42.62004277
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Indonesia,IDN,35.85535187,35.87952388,37.6595526,37.96629475,38.07143827,38.26431151,38.0750914,38.15838599,37.95528746,37.97537247,38.09475758,38.37367755,38.89711405,39.20926269,39.49137679,39.42757264
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Philippines,PHL,38.67022677,38.85503819,38.89894313,38.51859573,38.89964231,39.10078401,39.26218179,39.2232049,39.35224546,39.55217847,39.7017401,39.22201888,38.18776605,38.70798103,39.28565641,39.1012192
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Mexico,MEX,35.53124552,36.08433161,36.37416581,36.36195018,36.87874881,36.82106365,37.0622565,37.50917935,37.62525005,37.25366204,37.49982222,37.60167967,37.3923288,37.71694562,38.43918557,38.11371726
"Labor force, total",SL.TLF.TOTL.IN,Canada,CAN,17821886,18030705,18379605,18667574,18799155,19001081,19147395,19322866,19546552,19629145,19747709,19955331,20218270,20396697,20788261,20492683
"Labor force, total",SL.TLF.TOTL.IN,United States,USA,151976098,153855509,155224880,156907793,157079943,157111093,157163170,157841889,158252925,158910317,159912569,161836238,163395307,164634753,166355636,163738061
"Labor force, total",SL.TLF.TOTL.IN,Burundi,BDI,3233143,3352425,3476102,3601032,3723694,3842129,3943624,4042457,4140069,4239621,4370030,4508039,4654229,4808244,4969385,5089758
"Labor force, total",SL.TLF.TOTL.IN,Chad,TCD,3421436,3513870,3609400,3709120,3814334,3925808,4034855,4151116,4272988,4398728,4527305,4649302,4774387,4902823,5074502,5085739
"Labor force, total",SL.TLF.TOTL.IN,Niger,NER,5489830,5670231,5865243,6074652,6298974,6538897,6780796,6875105,6964138,7044269,7331894,7621537,7928658,8252570,8592795,8868172
"Labor force, total",SL.TLF.TOTL.IN,Bolivia,BOL,4252111,4371661,4420346,4518001,4641844,4742968,4846370,4723397,4875374,5131268,4928636,5054335,5259275,5618578,5645342,5251670
"Labor force, total",SL.TLF.TOTL.IN,Indonesia,IDN,102184327,103776784,108893086,110890081,112039660,114596174,117225410,120144188,120972115,122770335,124807236,126206202,129127477,133000453,136202238,136459585
"Labor force, total",SL.TLF.TOTL.IN,Philippines,PHL,33464924,34249911,35058171,35888907,37096210,38102681,39471864,40032101,40722802,42086989,42464441,43465682,42626395,43426313,44679340,41971346
"Labor force, total",SL.TLF.TOTL.IN,Mexico,MEX,42869547,44352857,45304973,46199021,47176107,47982609,49035908,50512846,51318641,51780845,52732562,53507498,54096291,55190039,56596004,53080123
Age dependency ratio (% of working-age population),SP.POP.DPND,Canada,CAN,44.495093,44.23699432,44.03477573,43.93390259,43.97675318,44.17994479,44.64763374,45.13918539,45.70697547,46.38054112,47.15645579,47.82631443,48.61607607,49.48187729,50.36191603,51.23928687
Age dependency ratio (% of working-age population),SP.POP.DPND,United States,USA,49.68456775,49.69711035,49.6149867,49.52142753,49.52581393,49.67051522,49.86975262,50.11544312,50.42591564,50.79303992,51.20955055,51.64616731,52.15580602,52.71067711,53.27766617,53.85248134
Age dependency ratio (% of working-age population),SP.POP.DPND,Burundi,BDI,97.06056981,95.22760708,93.4754245,91.91651195,90.66561287,89.7575691,89.79058518,89.95376678,90.23472707,90.57073454,90.89992856,91.19375026,91.35920407,91.38249684,91.25120127,90.95652981
Age dependency ratio (% of working-age population),SP.POP.DPND,Chad,TCD,107.6489463,107.751172,107.5334949,107.0344317,106.3128635,105.4286031,104.9365543,104.2017026,103.2924455,102.261182,101.1318626,100.3706986,99.47057168,98.43954635,97.28763679,96.03567961
Age dependency ratio (% of working-age population),SP.POP.DPND,Niger,NER,106.7642369,108.1052493,109.1158182,109.8632874,110.3839133,110.7010881,111.411299,111.8027937,111.9387444,111.8628181,111.5987634,111.6027239,111.3434055,110.8785121,110.2557726,109.5032853
Age dependency ratio (% of working-age population),SP.POP.DPND,Bolivia,BOL,72.22327931,71.56335041,70.8126417,70.00478985,69.1824063,68.36909652,67.5526014,66.77544317,66.00894798,65.21074463,64.36850543,63.62346658,62.81472581,61.9839616,61.19645267,60.48828849
Age dependency ratio (% of working-age population),SP.POP.DPND,Indonesia,IDN,53.09722662,52.41429881,51.89208513,51.50823689,51.24070457,51.03599149,50.53060111,50.13284596,49.76774148,49.35723888,48.88575617,48.71440741,48.36101841,47.94729696,47.63508295,47.48940519
Age dependency ratio (% of working-age population),SP.POP.DPND,Philippines,PHL,68.20944464,67.13285754,65.92223434,64.52229794,63.03035492,61.62510152,60.90050259,60.24605318,59.67033464,59.09363146,58.43867936,57.93943993,57.24532765,56.45928622,55.74110899,55.16945504
Age dependency ratio (% of working-age population),SP.POP.DPND,Mexico,MEX,59.90324307,59.07172965,58.13095805,57.14931404,56.22262413,55.40225386,54.61010188,53.9484804,53.38531012,52.8612318,52.3477207,51.9253744,51.46924186,51.01299485,50.60644416,50.27056808
"Age at first marriage, male",SP.DYN.SMAM.MA,Canada,CAN,..,28.6,..,..,..,..,28.6,..,28.8,..,28.8,28.7,..,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,United States,USA,..,..,..,..,..,29.2,..,..,..,..,..,..,..,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Burundi,BDI,25.5,..,..,24.6,..,25.4,..,..,..,..,..,26.1,..,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Chad,TCD,..,..,..,..,24.3,..,..,..,..,25.4,24.7,..,..,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Niger,NER,..,25.1,..,..,..,..,..,25,..,..,24,..,..,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Bolivia,BOL,..,..,..,25.3,..,..,..,26.6,..,..,..,..,..,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Indonesia,IDN,27,..,26.9,..,..,25.7,..,..,..,..,..,..,27.1,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Philippines,PHL,..,..,..,..,..,26.9,..,..,..,..,27.2,..,27.1,..,..,..
"Age at first marriage, male",SP.DYN.SMAM.MA,Mexico,MEX,..,..,..,..,26.6,25.5,..,..,..,25.5,25.9,25.9,..,25.9,25.9,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Canada,CAN,..,26.6,..,..,..,..,26.9,..,27.1,..,27.1,27.2,..,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,United States,USA,..,..,23.7,..,..,27.5,..,..,..,..,..,..,..,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Burundi,BDI,21.6,..,..,22.1,..,22.1,..,..,..,..,..,22.8,..,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Chad,TCD,..,..,..,..,18.3,18.2,..,..,..,18.9,18.8,..,..,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Niger,NER,..,17.7,..,..,..,..,..,17.2,..,..,17.2,..,..,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Bolivia,BOL,..,..,..,22.7,..,..,..,24.1,..,..,..,24,..,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Indonesia,IDN,23.4,..,22.3,..,..,22.3,..,21.8,..,..,..,..,22.4,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Philippines,PHL,..,..,..,23.3,..,24.2,..,..,23.4,..,24.6,..,23.4,..,..,..
"Age at first marriage, female",SP.DYN.SMAM.FE,Mexico,MEX,..,..,..,..,24.2,23,..,..,..,23,23.2,23.2,..,23.2,23.2,..
"Age dependency ratio, old",SP.POP.DPND.OL,Canada,CAN,18.95421925,19.13834588,19.35344295,19.62097814,19.96659698,20.40672487,20.90334426,21.48625689,22.15015152,22.86956698,23.62395809,24.32483539,25.03064915,25.75872729,26.53571732,27.38090851
"Age dependency ratio, old",SP.POP.DPND.OL,United States,USA,18.42873209,18.53387335,18.65978389,18.83239533,19.08345408,19.42988579,19.85813508,20.35780389,20.91679038,21.51469796,22.14144011,22.79799773,23.46146061,24.13997563,24.84570588,25.587092
"Age dependency ratio, old",SP.POP.DPND.OL,Burundi,BDI,4.485549547,4.407617004,4.330653826,4.254441289,4.177216742,4.100401974,4.057304922,4.010152243,3.974224609,3.968372885,4.000974789,4.082554558,4.184571411,4.300248832,4.421911215,4.545028976
"Age dependency ratio, old",SP.POP.DPND.OL,Chad,TCD,5.598870177,5.553469525,5.495248402,5.425227623,5.341973619,5.247531645,5.18758157,5.112458498,5.034337153,4.967044907,4.917086209,4.916806779,4.920374549,4.922331176,4.915699026,4.898105565
"Age dependency ratio, old",SP.POP.DPND.OL,Niger,NER,5.0516923,5.110272188,5.16291861,5.20871548,5.245943175,5.274391551,5.332268542,5.376573684,5.409966373,5.434009651,5.449643311,5.468421976,5.475400146,5.472312061,5.459734736,5.438902005
"Age dependency ratio, old",SP.POP.DPND.OL,Bolivia,BOL,9.660437208,9.774023793,9.895849808,10.02496702,10.15964928,10.29941213,10.45989005,10.62050978,10.78161577,10.94277759,11.10496163,11.29104576,11.47173033,11.64980335,11.82961183,12.01609251
"Age dependency ratio, old",SP.POP.DPND.OL,Indonesia,IDN,7.349838357,7.419867701,7.471346931,7.503345304,7.512703885,7.495182646,7.592962228,7.683148994,7.776064314,7.883944505,8.015168085,8.215483809,8.429796232,8.665518008,8.932369417,9.236543539
"Age dependency ratio, old",SP.POP.DPND.OL,Philippines,PHL,5.873465229,6.042159723,6.206894529,6.361338712,6.514393304,6.686499573,6.788240063,6.899756115,7.020904211,7.151181955,7.291573409,7.522589453,7.763354164,8.014734531,8.277633596,8.552394618
"Age dependency ratio, old",SP.POP.DPND.OL,Mexico,MEX,8.994514517,9.086742062,9.190034426,9.302202601,9.420483543,9.546642955,9.654172701,9.765558964,9.892985016,10.0503106,10.24495242,10.44231738,10.6646015,10.90870355,11.16996881,11.44776791
"Age dependency ratio, young",SP.POP.DPND.YG,Canada,CAN,25.54087375,25.09864844,24.68133278,24.31292445,24.0101562,23.77321992,23.74428949,23.65292849,23.55682395,23.51097413,23.5324977,23.50147904,23.58542692,23.72315,23.82619871,23.85837836
"Age dependency ratio, young",SP.POP.DPND.YG,United States,USA,31.25583566,31.163237,30.95520281,30.68903221,30.44235985,30.24062943,30.01161754,29.75763923,29.50912526,29.27834196,29.06811045,28.84816957,28.69434541,28.57070148,28.43196029,28.26538933
"Age dependency ratio, young",SP.POP.DPND.YG,Burundi,BDI,92.57502026,90.81999008,89.14477068,87.66207066,86.48839613,85.65716713,85.73328026,85.94361454,86.26050246,86.60236166,86.89895377,87.1111957,87.17463265,87.08224801,86.82929006,86.41150083
"Age dependency ratio, young",SP.POP.DPND.YG,Chad,TCD,102.0500761,102.1977024,102.0382464,101.609204,100.9708899,100.1810715,99.74897275,99.08924405,98.25810837,97.29413707,96.21477637,95.45389185,94.55019713,93.51721517,92.37193776,91.13757405
"Age dependency ratio, young",SP.POP.DPND.YG,Niger,NER,101.7125446,102.9949772,103.9528996,104.6545719,105.1379701,105.4266966,106.0790305,106.4262201,106.528778,106.4288085,106.1491201,106.134302,105.8680054,105.4062,104.7960379,104.0643833
"Age dependency ratio, young",SP.POP.DPND.YG,Bolivia,BOL,62.5628421,61.78932662,60.91679189,59.97982283,59.02275701,58.06968439,57.09271135,56.15493339,55.22733221,54.26796704,53.2635438,52.33242082,51.34299548,50.33415825,49.36684084,48.47219599
"Age dependency ratio, young",SP.POP.DPND.YG,Indonesia,IDN,45.74738827,44.99443111,44.4207382,44.00489158,43.72800068,43.54080885,42.93763888,42.44969696,41.99167717,41.47329438,40.87058808,40.49892361,39.93122218,39.28177895,38.70271354,38.25286165
"Age dependency ratio, young",SP.POP.DPND.YG,Philippines,PHL,62.33597941,61.09069782,59.71533982,58.16095923,56.51596161,54.93860195,54.11226253,53.34629707,52.64943043,51.9424495,51.14710595,50.41685048,49.48197349,48.44455169,47.46347539,46.61706042
"Age dependency ratio, young",SP.POP.DPND.YG,Mexico,MEX,50.90872855,49.98498759,48.94092362,47.84711144,46.80214059,45.8556109,44.95592918,44.18292144,43.4923251,42.81092121,42.10276828,41.48305702,40.80464036,40.1042913,39.43647534,38.82280017
Completeness of birth registration (%),SP.REG.BRTH.ZS,Canada,CAN,..,..,..,..,..,..,100,100,..,..,..,..,100,..,..,..
Completeness of birth registration (%),SP.REG.BRTH.ZS,United States,USA,..,..,..,..,100,..,..,..,100,..,..,..,100,..,..,..
Completeness of birth registration (%),SP.REG.BRTH.ZS,Burundi,BDI,60,..,..,..,..,75.2,..,..,..,..,..,..,83.5,..,..,..
Completeness of birth registration (%),SP.REG.BRTH.ZS,Chad,TCD,..,..,..,..,..,15.7,..,..,..,..,12,..,..,..,..,..
Completeness of birth registration (%),SP.REG.BRTH.ZS,Niger,NER,..,31.8,..,..,..,..,..,63.9,..,..,..,..,..,..,..,..
Completeness of birth registration (%),SP.REG.BRTH.ZS,Bolivia,BOL,..,..,..,75.9,..,..,..,..,..,..,..,91.9,..,..,..,..
Completeness of birth registration (%),SP.REG.BRTH.ZS,Indonesia,IDN,..,..,50.6,..,..,..,..,66.6,68.5,..,..,72.5,77.9,71.9,..,..
Completeness of birth registration (%),SP.REG.BRTH.ZS,Philippines,PHL,..,..,..,..,..,90.2,..,..,..,..,..,..,91.8,..,..,..
Completeness of birth registration (%),SP.REG.BRTH.ZS,Mexico,MEX,..,..,..,..,93.4,..,..,..,..,..,95,..,..,..,..,..
Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,Canada,CAN,..,..,..,100,..,100,..,..,..,..,100,..,..,..,..,..
Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,United States,USA,..,..,..,..,98,..,..,..,..,..,..,100,..,..,..,..
Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,Niger,NER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,Indonesia,IDN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,Philippines,PHL,..,..,..,90,..,..,89,..,..,..,..,..,..,..,..,..
Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,Mexico,MEX,..,..,..,..,93.9,..,99,..,..,..,..,100,..,..,..,..
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Data from database: Health Nutrition and Population Statistics,,,,,,,,,,,,,,,,,,,
Last Updated: 02/16/2022,,,,,,,,,,,,,,,,,,,
