Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Fri, 18 Mar 2022 20:25:14 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2013-0437-PHL,2013,0437,,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Krosa (Vinta),Philippines (the),PHL,South-Eastern Asia,Asia,"Ilocos Norte district (Region I (Ilocos region) province), Cagayan district (Region II (Cagayan Valley) province), Apayao district (Cordillera Administrative region (CAR) province)",,Flood,,,,,,,Kph,,,,,2013,10,31,2013,10,31,4,,220443,,220443,,,,,4729,5501,85.97164225,2,,24205;24211;24216,"Apayao, Cagayan, Ilocos Norte (Adm2)."
2013-0433-PHL,2013,0433,TC-2013-000139,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Haiyan (Yolanda),Philippines (the),PHL,South-Eastern Asia,Asia,"Samar, Leyte districts (Region VIII (Eastern Visayas) province), Cebu district (Region VII (Central Visayas) province), Iloilo, Capiz, Aklan districts (Region VI (Western Visayas) province), Palawan district (Region IV (Southern Tagalog) province)",,Surge,,Yes,Yes,Yes,844063,315,Kph,,,,,2013,11,8,2013,11,8,7354,28689,16078181,,16106870,,,700000,814222,10000000,11631742,85.97164225,2,,24233;24246;24248;24250;24253;24258;24261,"Aklan, Capiz, Cebu, Iloilo, Leyte, Palawan, Samar (Adm2)."
2013-0188-MEX,2013,0188,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Barbara,Mexico,MEX,Central America,Americas,"Chiapas, Oaxaca provinces",,,,,,,,,Kph,,,,,2013,5,29,2013,5,29,4,,12000,,12000,,,,,,,85.97164225,1,2032;2047,,"Chiapas, Oaxaca (Adm1)."
2013-0395-PHL,2013,0395,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Catigbian village (Bohol district, Region VII (Central Visayas) province), Cebu, Siquijor, Negros Oriental districts (Region VII (Central Visayas) province), Negros Occidental, Iloilo, Guimaras districts (Region VI (Western Visayas) province)",,,,Yes,,,,7,Richter,9.8796,124.1167,08:12,,2013,10,15,2013,10,15,230,976,3221248,,3222224,,,20000,23263,51459,59856,85.97164225,2,,24249;24250;24251;24252;24253;24254;24255,"Bohol, Cebu, Guimaras, Iloilo, Negros Occidental, Negros Oriental, Siquijor (Adm2)."
2013-0258-PHL,2013,0258,,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Rumbia,Philippines (the),PHL,South-Eastern Asia,Asia,"Region III (Central Luzon), Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas) provinces",,,,,,,,,Kph,,,,,2013,6,30,2013,6,30,7,4,3592,,3596,,,,,1000,1163,85.97164225,1,2362;2363;2364;67165,,"Region III (Central Luzon), Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas) (Adm1)."
2013-0272-PHL,2013,0272,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Utor (Labuyo),Philippines (the),PHL,South-Eastern Asia,Asia,"Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon) provinces",,,,,,,,,Kph,,,,,2013,8,12,2013,8,15,18,7,395723,,395730,,,,,32431,37723,85.97164225,1,2356;2357;67165,,"Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon) (Adm1)."
2013-0378-PHL,2013,0378,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical depression Crising (Shanshan),Philippines (the),PHL,South-Eastern Asia,Asia,"Mindoro Oriental district (Region IV (Southern Tagalog) province), Leyte district (Region VIII (Eastern Visayas) province), Zamboanga del Norte district (Region IX (Zamboanga Peninsula) province), Bukidnon, Lanao del Norte districts (Region X (Northern Mindanao) province), North Cotabato, South Cotabato districts (Region XII (Soccsksargen) province), Agusan del Norte district (Region XIII (Caraga) province), Maguindanao district (Autonomous region in Muslim Mindanao (ARMM) province), Region VII (Central Visayas), Region XI (Davao Region) provinces",,,,,,,,,Kph,,,,,2013,2,20,2013,2,21,6,4,262880,,262884,,,,,1680,1954,85.97164225,1;2,2363;67161,24232;24238;24258;24262;24271;24272;24273;24275;67174,"Region VII (Central Visayas), Region XI (Davao Region) (Adm1). Agusan Del Norte, Bukidnon, Lanao Del Norte, Leyte, Maguindanao, Mindoro Oriental, North Cotabato, South Cotabato, Zamboanga Del Norte (Adm2)."
2013-0211-USA,2013,0211,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,United States of America (the),USA,Northern America,Americas,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, New York, New Jersey, Pennsylvania, Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, Alabama, Arkansas, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia provinces",,,,,,,,,Kph,,,,,2013,6,12,2013,6,13,4,,,,,,,450000,523428,900000,1046857,85.97164225,1,3214;3217;3220;3221;3223;3224;3227;3228;3229;3230;3231;3232;3233;3234;3235;3236;3237;3238;3239;3241;3243;3244;3246;3247;3248;3249;3252;3253;3254;3255;3256;3259;3260;3262;3263,,"Alabama, Arkansas, Connecticut, Delaware, Florida, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Nebraska, New Hampshire, New Jersey, New York, North Carolina, North Dakota, Ohio, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Vermont, Virginia, West Virginia, Wisconsin (Adm1)."
2011-0328-USA,2011,0328,TC-2011-000114,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Irene,United States of America (the),USA,Northern America,Americas,"New York, New Jersey, Pennsylvania, North Carolina, Virginia, Maryland, District of Columbia, Connecticut, Florida provinces",,Flood,,,,,,252912,Kph,40.186,-70.06,,,2011,8,27,2011,9,13,46,,370000,,370000,,,,,7300000,8793838,83.01267439,1,3220;3222;3223;3234;3244;3246;3247;3252;3260,,"Connecticut, District of Columbia, Florida, Maryland, New Jersey, New York, North Carolina, Pennsylvania, Virginia (Adm1)."
2011-0456-USA,2011,0456,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical Storm Lee,United States of America (the),USA,Northern America,Americas,"Louisiana, Mississippi, Alabama, Texas, New York, Pennsylvania, District of Columbia, Georgia, Maryland, Tennessee, Virginia provinces",,Flood,,,,Yes,,75,Kph,,,,,2011,9,4,2011,9,9,15,,600,,600,,,560000,674596,750000,903476,83.01267439,1,3214;3222;3224;3232;3234;3238;3246;3252;3256;3257;3260,,"Alabama, District of Columbia, Georgia, Louisiana, Maryland, Mississippi, New York, Pennsylvania, Tennessee, Texas, Virginia (Adm1)."
2011-0444-USA,2011,0444,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"New York, New Jersey, Connecticut, Massachusetts provinces",,,,,,Yes,,,Kph,,,,,2011,10,29,2011,10,31,29,,,,,,,800000,963708,3000000,3613906,83.01267439,1,3220;3235;3244;3246,,"Connecticut, Massachusetts, New Jersey, New York (Adm1)."
2011-0527-USA,2011,0527,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"Colorado, New Mexico provinces",,,,,,,,,Kph,,,,,2011,12,20,2011,12,20,6,,,,,,,,,,,83.01267439,1,3219;3245,,"Colorado, New Mexico (Adm1)."
2011-0607-USA,2011,0607,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Alabama, Arkansas, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, New York, New Jersey, Pennsylvania provinces",,,,,,,,,Kph,,,,,2011,1,7,2011,1,12,11,,,,,,,,,,,83.01267439,1,3214;3217;3220;3221;3223;3224;3227;3228;3229;3230;3231;3232;3233;3234;3235;3236;3237;3238;3239;3241;3243;3244;3246;3247;3248;3249;3252;3253;3254;3255;3256;3259;3260;3262;3263,,"Alabama, Arkansas, Connecticut, Delaware, Florida, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Nebraska, New Hampshire, New Jersey, New York, North Carolina, North Dakota, Ohio, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Vermont, Virginia, West Virginia, Wisconsin (Adm1)."
2011-0608-USA,2011,0608,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, New York, New Jersey, Pennsylvania, Tennessee provinces",,,,,,,,,Kph,,,,,2011,1,17,2011,1,24,10,,,,,,,,,,,83.01267439,1,3219;3220;3227;3228;3229;3230;3233;3235;3236;3237;3239;3240;3241;3243;3244;3245;3246;3248;3249;3250;3252;3253;3255;3256;3257;3259;3263;3264,,"Colorado, Connecticut, Illinois, Indiana, Iowa, Kansas, Maine, Massachusetts, Michigan, Minnesota, Missouri, Montana, Nebraska, New Hampshire, New Jersey, New Mexico, New York, North Dakota, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Dakota, Tennessee, Texas, Vermont, Wisconsin, Wyoming (Adm1)."
2011-0609-USA,2011,0609,,Natural,Meteorological,Storm,Convective storm,,,United States of America (the),USA,Northern America,Americas,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Alabama, Arkansas, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming provinces",,,,,,,,,Kph,,,,,2011,4,3,2011,4,5,9,,,,,,,2000000,2409271,3500000,4216224,83.01267439,1,3214;3217;3219;3221;3223;3224;3227;3228;3229;3230;3231;3232;3234;3236;3237;3238;3239;3240;3241;3245;3247;3248;3249;3250;3254;3255;3256;3257;3260;3262;3263;3264,,"Alabama, Arkansas, Colorado, Delaware, Florida, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maryland, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, New Mexico, North Carolina, North Dakota, Ohio, Oklahoma, South Carolina, South Dakota, Tennessee, Texas, Virginia, West Virginia, Wisconsin, Wyoming (Adm1)."
2011-0611-USA,2011,0611,,Natural,Meteorological,Storm,Convective storm,,,United States of America (the),USA,Northern America,Americas,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, New York, New Jersey, Pennsylvania provinces",,,,,,,,,Kph,,,,,2011,8,13,2011,8,14,7,,,,,,,,,,,83.01267439,1,3227;3228;3229;3230;3236;3237;3239;3241;3244;3246;3248;3249;3252;3255;3263,,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, New Jersey, New York, North Dakota, Ohio, Pennsylvania, South Dakota, Wisconsin (Adm1)."
2011-9363-USA,2011,9363,,Natural,Climatological,Drought,Drought,,,United States of America (the),USA,Northern America,Americas,"Texas, Oklahoma, New Mexico, Arizona, Kansas, Louisiana provinces",,,,,,,,,Km2,,,,,2011,1,,2011,11,,,,,,,,,1000000,1204635,8000000,9637083,83.01267439,1,3216;3230;3232;3245;3250;3257,,"Arizona, Kansas, Louisiana, New Mexico, Oklahoma, Texas (Adm1)."
2012-0410-USA,2012,0410,TC-2012-000180,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Sandy,United States of America (the),USA,Northern America,Americas,"New York, New Jersey, Pennsylvania, Connecticut, Ohio, Delaware, Rhode Island, Maryland, Massachusetts, Maine, New Hampshire, North Carolina, Vermont, Virginia, District of Columbia, West Virginia provinces",,Flood,Fire,,,Yes,,,Kph,,,,,2012,10,28,2012,10,28,54,,,,,,,,,50000000,59010643,84.7304789,1,3220;3221;3222;3233;3234;3235;3243;3244;3246;3247;3249;3252;3253;3259;3260;3262,,"Connecticut, Delaware, District of Columbia, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, North Carolina, Ohio, Pennsylvania, Rhode Island, Vermont, Virginia, West Virginia (Adm1)."
2012-9235-USA,2012,9235,,Natural,Climatological,Drought,Drought,,,United States of America (the),USA,Northern America,Americas,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin provinces",,Heat wave,,,,,,,Km2,,,,,2012,6,,2012,,,,,,,,,,,,,,84.7304789,1,3227;3228;3229;3230;3236;3237;3239;3241;3248;3249;3255;3263,,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin (Adm1)."
2012-9489-USA,2012,9489,,Natural,Climatological,Drought,Drought,,,United States of America (the),USA,Northern America,Americas,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Arizona, California, Colorado, Nevada, New Mexico, Oklahoma, Texas, Utah provinces",Severe lack of rainand extreme temperature,Heat wave,,,,Yes,,,Km2,,,,,2012,6,,2012,12,,,,,,,,,16000000,18883406,20000000,23604257,84.7304789,1,3216;3218;3219;3227;3228;3229;3230;3236;3237;3239;3241;3242;3245;3248;3249;3250;3255;3257;3258;3263,,"Arizona, California, Colorado, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Nevada, New Mexico, North Dakota, Ohio, Oklahoma, South Dakota, Texas, Utah, Wisconsin (Adm1)."
2012-0313-USA,2012,0313,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Isaac,United States of America (the),USA,Northern America,Americas,"Mississippi, Louisiana provinces",,Flood,,,,Yes,,83938,Kph,30.503,-89.35,,,2012,8,28,2012,8,29,1,,60000,,60000,,,,,2000000,2360426,84.7304789,1,3232;3238,,"Louisiana, Mississippi (Adm1)."
2012-0486-USA,2012,0486,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"Wisconsin, Iowa, Nebraska, Kansas provinces",,,,,,,,100,Kph,,,,,2012,12,19,2012,12,21,7,,,,,,,,,2000,2360,84.7304789,1,3229;3230;3241;3263,,"Iowa, Kansas, Nebraska, Wisconsin (Adm1)."
2012-0493-USA,2012,0493,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"Texas, Louisiana, Alabama, Mississippi, Arkansas, Indiana, Pennsylvania, Virginia, New York, New Jersey provinces",,,,,,,,,Kph,,,,,2012,12,25,2012,12,27,17,,,,,,,100000,118021,50000,59011,84.7304789,1,3214;3217;3228;3232;3238;3244;3246;3252;3257;3260,,"Alabama, Arkansas, Indiana, Louisiana, Mississippi, New Jersey, New York, Pennsylvania, Texas, Virginia (Adm1)."
2012-0611-USA,2012,0611,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"Oregon, Washington provinces",,,,,,,,,Kph,,,,,2012,1,18,2012,1,23,3,1,,,1,,,,,100000,118021,84.7304789,1,3251;3261,,"Oregon, Washington (Adm1)."
2012-0503-USA,2012,0503,,Natural,Meteorological,Storm,Convective storm,Severe storm,,United States of America (the),USA,Northern America,Americas,"Ohio, Virginia, Maryland, West Virginia, District of Columbia, Illinois, Indiana, Kentucky, New Jersey, North Carolina, South Carolina provinces",,,,,,,,146,Kph,,,,,2012,6,28,2012,7,2,28,,,,,,,2000000,2360426,4000000,4720851,84.7304789,1,3222;3227;3228;3231;3234;3244;3247;3249;3254;3260;3262,,"District of Columbia, Illinois, Indiana, Kentucky, Maryland, New Jersey, North Carolina, Ohio, South Carolina, Virginia, West Virginia (Adm1)."
2012-0601-USA,2012,0601,,Natural,Meteorological,Storm,Convective storm,Severe storm,,United States of America (the),USA,Northern America,Americas,"Missouri, Illinois, Kentucky, Texas, Indiana provinces",,,,,,,,,Kph,,,,,2012,4,28,2012,4,29,1,100,,,100,,,2000000,2360426,4500000,5310958,84.7304789,1,3227;3228;3231;3239;3257,,"Illinois, Indiana, Kentucky, Missouri, Texas (Adm1)."
2012-0176-USA,2012,0176,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Debby,United States of America (the),USA,Northern America,Americas,"Bay, Calhoun, Escambia, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Leon, Liberty, Madison, Okaloosa, Santa Rosa, Taylor, Wakulla, Walton, Washington, Brevard, Citrus, Hardee, Hernando, Hillsborough, Indian River, Lake, Manatee, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Volusia districts",,,,,,,,67994,Kph,28.9635,-82.5,,,2012,6,22,2012,6,27,9,1,17000,,17001,,,200000,236043,210000,247845,84.7304789,2,,29000;29002;29004;29006;29013;29015;29016;29019;29021;29023;29025;29026;29027;29028;29029;29031;29033;29035;29036;29037;29038;29043;29045;29046;29048;29049;29050;29052;29054;29057;29059;29061;29062;29063;29064,"Bay, Brevard, Calhoun, Citrus, Escambia, Franklin, Gadsden, Gulf, Hardee, Hernando, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lake, Leon, Liberty, Madison, Manatee, Marion, Okaloosa, Orange, Osceola, Pasco, Pinellas, Polk, Santa Rosa, Seminole, Sumter, Taylor, Volusia, Wakulla, Walton, Washington (Adm2)."
2012-0214-USA,2012,0214,,Natural,Meteorological,Extreme temperature,Heat wave,,,United States of America (the),USA,Northern America,Americas,"District of Columbia, Iowa, Virginia, North Carolina provinces",,,,,,,,40,°C,,,,,2012,6,30,2012,7,19,123,,,,,,,,,,,84.7304789,1,3222;3229;3247;3260,,"District of Columbia, Iowa, North Carolina, Virginia (Adm1)."
2013-0142-USA,2013,0142,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Alabama, Arkansas, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, New York, New Jersey, Pennsylvania provinces",,Hail,,,,Yes,,320,Kph,,,,,2013,5,18,2013,5,22,29,450,,,450,,,1800000,2093714,3100000,3605840,85.97164225,1,3219;3220;3227;3228;3229;3230;3233;3235;3236;3237;3239;3240;3241;3243;3245;3248;3249;3250;3253;3255;3257;3259;3263;3264,,"Colorado, Connecticut, Illinois, Indiana, Iowa, Kansas, Maine, Massachusetts, Michigan, Minnesota, Missouri, Montana, Nebraska, New Hampshire, New Mexico, North Dakota, Ohio, Oklahoma, Rhode Island, South Dakota, Texas, Vermont, Wisconsin, Wyoming (Adm1)."
2013-0183-USA,2013,0183,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Alabama, Arkansas, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia provinces",,Hail,,,,,,285,Kph,,,,,2013,5,15,2013,5,17,6,100,,600,700,,,200000,232635,300000,348952,85.97164225,1,3214;3217;3219;3221;3223;3224;3230;3231;3232;3234;3238;3240;3241;3245;3247;3248;3250;3254;3255;3256;3257;3260;3262;3264,,"Alabama, Arkansas, Colorado, Delaware, Florida, Georgia, Kansas, Kentucky, Louisiana, Maryland, Mississippi, Montana, Nebraska, New Mexico, North Carolina, North Dakota, Oklahoma, South Carolina, South Dakota, Tennessee, Texas, Virginia, West Virginia, Wyoming (Adm1)."
2013-0439-USA,2013,0439,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Illinois, Indiana, Kentucky, Ohio, Michigan, Wisconsin, Missouri provinces",,Hail,,,,Yes,,305,Kph,,,,,2013,11,16,2013,11,18,11,185,,,185,,,800000,930539,1300000,1512127,85.97164225,1,3227;3228;3231;3236;3239;3249;3263,,"Illinois, Indiana, Kentucky, Michigan, Missouri, Ohio, Wisconsin (Adm1)."
2013-0054-USA,2013,0054,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, New York, New Jersey, Pennsylvania provinces",,Flood,,,,Yes,,,Kph,,,,,2013,2,8,2013,2,9,15,,,,,,,,,100000,116317,85.97164225,1,3220;3233;3235;3243;3244;3246;3252;3253;3259,,"Connecticut, Maine, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont (Adm1)."
2013-0472-USA,2013,0472,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"Oklahoma, Texas, California, New Mexico, Arizona provinces",,Flood,,,,,,,Kph,,,,,2013,11,24,2013,11,24,14,,,,,,,,,2000,2326,85.97164225,1,3216;3218;3245;3250;3257,,"Arizona, California, New Mexico, Oklahoma, Texas (Adm1)."
2013-0118-USA,2013,0118,,Natural,Meteorological,Storm,Convective storm,Severe storm,,United States of America (the),USA,Northern America,Americas,"Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin provinces",,Flood,,,,,,,Kph,,,,,2013,4,17,2013,4,19,3,,,,,,,800000,930539,1100000,1279492,85.97164225,1,3219;3227;3228;3229;3230;3236;3237;3239;3240;3241;3245;3248;3249;3250;3255;3257;3263;3264,,"Colorado, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Montana, Nebraska, New Mexico, North Dakota, Ohio, Oklahoma, South Dakota, Texas, Wisconsin, Wyoming (Adm1)."
2013-0580-CAN,2013,0580,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Canada,CAN,Northern America,Americas,Toronto district (Ontario province),,Flood,,,,,,,Kph,,,,,2013,7,8,2013,7,9,,,,,,,,888000,1032899,1410000,1640076,85.97164225,2,,12686,Toronto (Adm2).
2013-0013-USA,2013,0013,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Alabama, Arkansas, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Colorado, Kansas, Montana, New Mexico, Oklahoma, Texas, Wyoming provinces",,,,,,,,,Kph,,,,,2013,1,29,2013,1,30,3,18,1089,,1107,,,200000,232635,300000,348952,85.97164225,1,3214;3217;3219;3221;3223;3224;3227;3228;3229;3230;3231;3232;3234;3236;3237;3238;3239;3240;3241;3245;3247;3248;3249;3250;3254;3255;3256;3257;3260;3262;3263;3264,,"Alabama, Arkansas, Colorado, Delaware, Florida, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maryland, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, New Mexico, North Carolina, North Dakota, Ohio, Oklahoma, South Carolina, South Dakota, Tennessee, Texas, Virginia, West Virginia, Wisconsin, Wyoming (Adm1)."
2013-0184-USA,2013,0184,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, New York, New Jersey, Pennsylvania provinces",,,,,,,,475,Kph,,,,,2013,5,26,2013,6,6,27,150,170000,,170150,,,1425000,1657523,2100000,2442666,85.97164225,1,3219;3220;3230;3233;3235;3240;3241;3243;3244;3245;3246;3248;3249;3250;3252;3253;3255;3257;3259;3263;3264,,"Colorado, Connecticut, Kansas, Maine, Massachusetts, Montana, Nebraska, New Hampshire, New Jersey, New Mexico, New York, North Dakota, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Dakota, Texas, Vermont, Wisconsin, Wyoming (Adm1)."
2013-0055-USA,2013,0055,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"South Dakota, North Dakota, Nebraska, Minnesota, Alabama, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Alabama, Arkansas, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia provinces",,,,,,,,,Kph,,,,,2013,2,9,2013,2,11,1,82,4800,,4882,,,,,100000,116317,85.97164225,1,3214;3217;3221;3223;3224;3227;3228;3229;3230;3231;3232;3234;3236;3237;3238;3239;3241;3247;3248;3249;3254;3255;3256;3260;3262;3263,,"Alabama, Arkansas, Delaware, Florida, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maryland, Michigan, Minnesota, Mississippi, Missouri, Nebraska, North Carolina, North Dakota, Ohio, South Carolina, South Dakota, Tennessee, Virginia, West Virginia, Wisconsin (Adm1)."
